,Bias Voltage(Volts),Current density (mA/cm2),Current density error,Power corrected (mW),Power corrected error,Luminance [cd/m2],Luminance error,Luminosity [lm/w],Luminosity error,Quantum Eff.[0-1],Quantum Eff.error,Current Eff.[cd/A],Current Eff.error,Radience [mW/m2],Radience error
0,0.0,-1.4069690992767916e-05,6.061801446416831e-06,1.2997448341421927e-05,7.97218191824686e-06,0.11041712031010789,0.06772601412815686,-inf,-inf,-2.6458902420686945,-2.7628551980331837,-784.7871027648323,-819.4796185226362,0.8545330927956558,0.5241408230274069
1,0.429,0.005450361604207758,0.0002333990795529257,2.838344924200731e-05,3.2105868814729573e-06,0.24112569232398262,0.02727487339402426,32.38102015790648,2.2761291355038527,0.014915511062281988,0.00104844223975138,4.424031098006967,0.31097433093348814,1.8661044866539978,0.21108395012971445
2,0.857,0.015779092702169623,0.0018737672583826431,3.2105868814729573e-06,5.397508380447292e-06,0.02727487339402426,0.045853410343577025,0.6333292436671347,0.9895195764505805,0.0005827746914437103,0.0009105326678181668,0.17285451013462877,0.2700695149739323,0.21108395012971445,0.3548657712325635
3,1.29,0.021367521367521364,0.0005660749506903352,9.523190073547806e-06,5.366488217341272e-06,0.0809022814682652,0.045589884996774854,0.9216086873119776,0.49492746528894827,0.0012765169607007827,0.0006855222964539209,0.3786226772714812,0.20333007331934497,0.6261137457953849,0.35282631277720394
4,1.71,0.024523339907955292,0.0013806706114398422,2.807324761094712e-05,3.0089558212838344e-06,0.23849043885596097,0.025561958639810176,1.7857674091054647,0.09086351078694604,0.0032787727909643414,0.00016683068877876409,0.9725039075064789,0.049482994727922835,1.8457099021004022,0.1978274701698773
5,2.14,0.0388560157790927,0.0013543721236028928,3.536298594086156e-05,0.0007119127432831341,0.3004188953544701,6.047906709109728,1.1344486764704431,22.798700549403037,0.0026066873567113648,0.05238587315953003,0.7731592890594738,15.537967890357482,2.324982639109898,46.80557155050191
6,2.57,0.0861275476660092,0.0055095332018408934,1.144644018612098e-05,7.537899634762598e-06,0.09724085296999954,0.06403665927292654,0.13794412312755508,0.08201703996983749,0.0003806507111719953,0.0002263223969597605,0.11290331096745748,0.06712859640843384,0.7525601700276777,0.49558840465237325
7,3.0,0.09796186719263641,0.005115055884286654,2.512633211587532e-05,8.437484364837144e-06,0.21345553090975508,0.07167889433018935,0.2280650577836994,0.06467644610751884,0.0007346328179272918,0.0002083328341448593,0.2178965520226426,0.061792782905272764,1.651961348841244,0.5547326998578004
8,3.43,0.1380670611439842,0.005969756738987507,2.233451743633362e-05,3.551808675639166e-06,0.1897382496975601,0.030173652208848097,0.12580570543670214,0.014567002694196555,0.00046332397829065185,5.364813635929733e-05,0.13742470370951854,0.015912362815635087,1.4684100878588835,0.23351799313866964
9,3.86,0.12754766600920445,0.0033530571992110452,-4.1101716115475063e-05,0.0008530544854155201,-0.349171084512871,7.246947037059586,-0.2226937863052724,4.6278008294090105,-0.0009229660435235815,0.019180162556846597,-0.2737573296618953,5.688952611948654,-2.7022824533514176,56.0851075223879
10,4.29,0.20710059171597633,0.0031492439184746877,3.14854655526092e-05,0.0006793415720218142,0.2674782270041993,5.771205094967453,0.09453213182953608,2.0382213163841403,0.00043543873885649217,0.009388559237372746,0.12915377246774196,2.7847036456331082,2.070050332189954,44.66414017237437
11,4.71,0.3445101906640368,0.0032938856015779093,-6.886476209536198e-05,0.0008716665832791316,-0.5850262699008102,7.405062245140887,-0.11320928199988962,1.4340467369467664,-0.0005725234273725132,0.007252279480492881,-0.16981392299983442,2.1510701054201493,-4.527597770898223,57.308782595603645
12,5.14,0.6042077580539119,0.00537146614069691,0.00021093710912092862,0.0008406464201731126,1.791972358254734,7.141536898338719,0.18118053510801196,0.720447008097527,0.0009999193582986498,0.003976083355729118,0.2965821498264908,1.179330452745633,13.868317496445009,55.26932414024408
13,5.57,0.9861932938856015,0.008086785009861933,0.0005381998298894283,0.0008065242407564918,4.572164767017594,6.8516590168563365,0.261357086743148,0.3895159067775735,0.0015630749212055463,0.0023295428981155203,0.4636175073755841,0.6909565607487528,35.384604200488376,53.02591983934857
14,6.0,1.6436554898093358,0.009796186719263642,0.0011074198228848754,0.0008484014609496173,9.407854880837355,7.207418235039261,0.2995423362639092,0.2276960413122232,0.0019297443695805647,0.0014668883176197208,0.5723738909501447,0.4350879770297258,72.8086668563363,55.77918875408397
15,6.43,2.72189349112426,0.021104536489151875,0.005319957972682243,0.005909341071696603,45.194596976571596,50.20157856581277,0.8108379481908004,0.894381459513466,0.005598031762660299,0.0061748168415924985,1.660410193269696,1.831488147984581,349.7671250941645,388.5168357459962
16,6.86,4.543063773833004,0.019329388560157788,0.023575323960574376,0.0031795667183669384,200.27926356964676,27.011348047222093,2.017867682474841,0.26356119988339743,0.014863021976038757,0.0019413145569057502,4.40846251648962,0.5758056787261485,1549.9884260732658,209.0444916743549
17,7.29,7.4293228139381995,0.015844838921761997,0.043583329163956575,0.0027607945164356837,370.25311225704434,23.453755865392846,2.1466023877452547,0.13139879641011273,0.01680232790003156,0.001028511696230449,4.983672422504109,0.3050628107737967,2865.439129780182,181.51180252700087
18,7.71,12.03155818540434,0.04845496383957922,0.07848101265822785,0.002590183619352579,666.7191274094819,22.00436645798092,2.2568168154054713,0.06539494620970238,0.018682758778523316,0.0005413633915834103,5.541419632731268,0.1605716672856068,5159.829892059687,170.29478102252327
19,8.14,19.395134779750162,0.09598948060486522,0.13664381848201332,0.0017526392154900688,1160.8291526635446,14.889182094322424,2.3087704091000423,0.018186602790842346,0.020178806314395826,0.00015895211311908164,5.9851564108517,0.0471461613749862,8983.814495858864,115.22940272781516
20,8.57,31.032215647600264,0.2445759368836292,0.23110021513984091,0.002512633211587532,1963.2638336761424,21.345553090975507,2.3180068117514874,0.006933453431350854,0.021329754120636903,6.380000962372282e-05,6.326534514875874,0.018923470033973506,15193.965492428724,165.19613488412438
21,9.0,48.98093359631821,0.5318869165023011,0.37379296542752793,0.0035362985940861564,3175.4804289661097,30.041889535447012,2.261879791188129,-0.003163192496418321,0.021857593718577446,-3.056739651228166e-05,6.48309494289591,-0.00906647530820538,24575.4743870827,232.49826391098986
