284.46	-3.01
284.73	7.99
285.00	-1.01
285.26	17.99
285.53	11.99
285.80	0.99
286.07	-21.01
286.33	-18.01
286.60	2.99
286.87	-0.01
287.14	-1.01
287.41	-9.01
287.67	-17.01
287.94	3.99
288.21	-16.01
288.48	7.99
288.74	-8.01
289.01	-11.01
289.28	-16.01
289.55	-22.01
289.82	9.99
290.08	0.99
290.35	6.99
290.62	15.99
290.89	-6.01
291.15	-25.01
291.42	37.99
291.69	-1.01
291.96	3.99
292.22	16.99
292.49	-11.01
292.76	10.99
293.03	-12.01
293.30	-3.01
293.56	-3.01
293.83	4.99
294.10	-3.01
294.37	-5.01
294.63	-0.01
294.90	-2.01
295.17	0.99
295.44	6.99
295.70	-3.01
295.97	-34.01
296.24	-1.01
296.51	35.99
296.77	-1.01
297.04	11.99
297.31	-19.01
297.58	5.99
297.84	0.99
298.11	-1.01
298.38	-19.01
298.65	-22.01
298.91	25.99
299.18	8.99
299.45	-7.01
299.72	57.99
299.98	-12.01
300.25	-15.01
300.52	-1.01
300.79	-6.01
301.05	2.99
301.32	-10.01
301.59	-1.01
301.86	12.99
302.12	2.99
302.39	5.99
302.66	9.99
302.92	10.99
303.19	-10.01
303.46	26.99
303.73	-6.01
303.99	-12.01
304.26	32.99
304.53	9.99
304.80	16.99
305.06	0.99
305.33	6.99
305.60	18.99
305.86	5.99
306.13	4.99
306.40	-2.01
306.67	1.99
306.93	15.99
307.20	-0.01
307.47	-2.01
307.74	24.99
308.00	10.99
308.27	15.99
308.54	-5.01
308.80	15.99
309.07	8.99
309.34	-6.01
309.61	17.99
309.87	29.99
310.14	-1.01
310.41	11.99
310.67	-13.01
310.94	10.99
311.21	4.99
311.48	-6.01
311.74	-10.01
312.01	-11.01
312.28	-11.01
312.54	13.99
312.81	11.99
313.08	50.99
313.34	35.99
313.61	-3.01
313.88	-3.01
314.15	-7.01
314.41	-0.01
314.68	-28.01
314.95	23.99
315.21	4.99
315.48	0.99
315.75	6.99
316.01	-2.01
316.28	-6.01
316.55	-11.01
316.82	-16.01
317.08	-6.01
317.35	0.99
317.62	12.99
317.88	-14.01
318.15	12.99
318.42	-6.01
318.68	-6.01
318.95	-16.01
319.22	5.99
319.48	-8.01
319.75	25.99
320.02	20.99
320.29	-2.01
320.55	-10.01
320.82	-1.01
321.09	-18.01
321.35	17.99
321.62	13.99
321.89	-5.01
322.15	-33.01
322.42	-3.01
322.69	-7.01
322.95	-6.01
323.22	41.99
323.49	-2.01
323.75	-13.01
324.02	-15.01
324.29	27.99
324.55	-5.01
324.82	15.99
325.09	4.99
325.35	33.99
325.62	32.99
325.89	-0.01
326.15	18.99
326.42	5.99
326.69	-10.01
326.95	-1.01
327.22	8.99
327.49	16.99
327.75	27.99
328.02	7.99
328.29	-8.01
328.55	38.99
328.82	-3.01
329.09	2.99
329.35	0.99
329.62	7.99
329.89	9.99
330.15	6.99
330.42	18.99
330.69	-5.01
330.95	-0.01
331.22	-15.01
331.49	9.99
331.75	-3.01
332.02	16.99
332.28	3.99
332.55	-7.01
332.82	-6.01
333.08	4.99
333.35	8.99
333.62	13.99
333.88	-1.01
334.15	-0.01
334.42	7.99
334.68	24.99
334.95	0.99
335.22	27.99
335.48	39.99
335.75	21.99
336.01	8.99
336.28	16.99
336.55	-22.01
336.81	13.99
337.08	11.99
337.35	-14.01
337.61	-6.01
337.88	-7.01
338.15	5.99
338.41	2.99
338.68	12.99
338.94	-3.01
339.21	15.99
339.48	-19.01
339.74	1.99
340.01	-5.01
340.28	22.99
340.54	8.99
340.81	-2.01
341.07	-4.01
341.34	-11.01
341.61	-17.01
341.87	-8.01
342.14	14.99
342.41	16.99
342.67	22.99
342.94	23.99
343.20	19.99
343.47	-24.01
343.74	-10.01
344.00	20.99
344.27	-1.01
344.53	56.99
344.80	21.99
345.07	-2.01
345.33	19.99
345.60	25.99
345.86	-4.01
346.13	19.99
346.40	-13.01
346.66	8.99
346.93	37.99
347.20	29.99
347.46	14.99
347.73	29.99
347.99	28.99
348.26	12.99
348.53	8.99
348.79	30.99
349.06	15.99
349.32	9.99
349.59	-6.01
349.86	-12.01
350.12	-4.01
350.39	-11.01
350.65	-5.01
350.92	-5.01
351.18	27.99
351.45	16.99
351.72	6.99
351.98	18.99
352.25	23.99
352.51	-0.01
352.78	27.99
353.05	-15.01
353.31	7.99
353.58	-5.01
353.84	-2.01
354.11	19.99
354.38	20.99
354.64	-3.01
354.91	-11.01
355.17	34.99
355.44	6.99
355.70	1.99
355.97	-22.01
356.24	1.99
356.50	5.99
356.77	14.99
357.03	17.99
357.30	-11.01
